filename,topic,outlet,article,likes,shares,comments,nv1,proximity,clickbait,direction,personalization,filename_surveycompany
"centralize_vg_0_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,vg,0,"6,7k",987,4,positive,Norway,True,centralize,True,04576.png
centralize_aftenposten_0_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,aftenposten,0,23,7,432,positive,Norway,True,centralize,True,04721.png
"centralize_aftenposten_0_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,aftenposten,0,"6,7k",987,4,positive,Norway,True,centralize,True,04726.png
centralize_nettavisen_0_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,nettavisen,0,23,987,4,positive,Norway,True,centralize,True,04733.png
"centralize_nrk_0_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,nrk,0,"6,7k",7,432,positive,Norway,True,centralize,True,04756.png
centralize_aftenposten_0_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,aftenposten,0,23,987,4,positive,Norway,True,centralize,True,04784.png
centralize_nrk_0_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,nrk,0,23,987,432,positive,Norway,True,centralize,True,04817.png
"centralize_klassekampen_0_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,klassekampen,0,"6,7k",7,432,positive,Norway,True,centralize,True,04831.png
centralize_nettavisen_0_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,nettavisen,0,23,7,4,positive,Norway,True,centralize,True,04841.png
centralize_aftenposten_0_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,aftenposten,0,23,7,4,positive,Norway,True,centralize,True,04852.png
centralize_dagbladet_0_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,dagbladet,0,23,7,4,positive,Norway,True,centralize,True,04856.png
centralize_dagbladet_0_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,dagbladet,0,23,987,432,positive,Norway,True,centralize,True,04945.png
centralize_nrk_0_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,nrk,0,23,987,4,positive,Norway,True,centralize,True,04966.png
centralize_nettavisen_0_23 liker_987 delinger_432 kommentarer_cropped.png,centralize,nettavisen,0,23,987,432,positive,Norway,True,centralize,True,04979.png
centralize_klassekampen_0_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,klassekampen,0,23,987,4,positive,Norway,True,centralize,True,05188.png
centralize_resett_0_23 liker_987 delinger_4 kommentarer_cropped.png,centralize,resett,0,23,987,4,positive,Norway,True,centralize,True,05226.png
centralize_dagbladet_0_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,dagbladet,0,23,7,432,positive,Norway,True,centralize,True,05267.png
